year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,normalized_degree,canonical_degree
2019,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),97.8,97.8,4008,3500,4093,3600,3000,4500,business administration (accountancy) (hons),Business Administration (Accountancy)
2019,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),92.8,90.6,5477,5000,5571,5000,4205,5585,computing (computer science),Computing (Computer Engineering)
2019,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce) **,na,na,na,na,na,na,na,na,computing (electronic commerce),Computing (Electronic Commerce)
2019,National University of Singapore,School of Computing,Bachelor of Computing (Information Security) **,na,na,na,na,na,na,na,na,computing (information security),Computing (Information Systems)
2019,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),95.9,95.9,4210,4000,4330,4228,4000,4685,computing (information systems),Computing (Information Systems)
2019,National University of Singapore,School of Computing,Bachelor of Science (Business Analytics),100,100,4811,5000,4881,5000,4050,5200,(business analytics),(Business Analytics)
2019,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) #,100,96,4156,4010,4199,4100,3800,4500,arts (architecture),Arts (Architecture)
2019,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design) ^,86.2,48.3,3142,3200,3245,3300,3000,3500,arts (industrial design),Arts (Industrial Design)
2019,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),88.3,80.6,3189,3100,3243,3155,3000,3480,(project and facilities management),(Project And Facilities Management)
2019,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),95.3,89.6,3431,3400,3494,3400,3100,3650,(real estate),(Real Estate)
2019,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Medicine and Bachelor of Surgery #,99.5,99.5,4607,4600,5218,5237,4950,5657,medicine and surgery,Medicine And Surgery (Mbbs)
2019,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing),93.5,89.1,3123,3250,3314,3358,3200,3450,(nursing),(Nursing)
2019,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing) (Hons),98.8,97.5,3389,3450,3612,3650,3515,3750,(nursing) (hons),(Nursing) (Hons)
2019,National University of Singapore,YST Conservatory of Music,Bachelor of Music,82.6,39.1,3531,3500,3575,3500,2875,3900,music,Music
2019,National University of Singapore,Yale-NUS College,Bachelor of Arts with Honours,96,77,4066,3600,4197,3684,3400,4567,arts with honours,Arts With Honours
2019,National University of Singapore,Yale-NUS College,Bachelor of Science with Honours ^,94.7,89.5,6962,5000,7139,5000,4150,9967,with honours,Arts With Honours
2019,National University of Singapore,Multi-Disciplinary Programmes,Bachelor of Engineering (Computer Engineering),92.9,91.7,4653,4000,4732,4000,3750,4900,(computer engineering),Computing (Computer Engineering)
2019,National University of Singapore,Multi-Disciplinary Programmes,Bachelor of Environmental Studies,88.4,67.4,3329,3300,3332,3325,3000,3600,environmental studies,Environmental Studies
2019,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Arts in Game Design ^,83.3,79.2,3122,3120,3167,3220,3000,3500,arts in game design,Arts In Game Design
2019,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Art and Animation,81.3,50,3036,3150,3051,3150,2750,3275,fine arts in digital art and animation,Fine Arts In Digital Arts & Animation
2019,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science and Game Design ^,91.3,87,3760,3800,3791,3800,3550,4000,in computer science and game design,In Computer Science & Game Design
2019,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,100,94.9,4447,4400,4474,4400,4000,5200,in computer science in real-time interactive simulation,In Computer Science In Real-Time Interactive Simulation
2019,Singapore Institute of Technology,Singapore Institute of Technology (SIT),Bachelor of Accountancy with Honours,93.7,89.2,3181,3100,3239,3100,3000,3250,accountancy with honours,Accountancy With Honours
2019,Singapore Institute of Technology,Singapore Institute of Technology (SIT),Bachelor of Engineering with Honours in Information & Communications Technology (Information Security),97.5,95,4171,4000,4319,4100,3900,5000,with honours in information & communications technology (information security),With Honours In Information & Communications Technology (Information Security)
2019,Singapore Institute of Technology,Singapore Institute of Technology (SIT),Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering),100,97.4,4090,4034,4188,4190,3600,4550,with honours in information & communications technology (software engineering),With Honours In Information & Communications Technology (Information Security)
2019,Singapore Institute of Technology,Singapore Institute of Technology (SIT),Bachelor of Engineering with Honours in Pharmaceutical Engineering,92.2,90.6,3237,3162,3748,3660,3500,4044,with honours in pharmaceutical engineering,With Honours In Chemical Engineering
2019,Singapore Institute of Technology,Singapore Institute of Technology (SIT),Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Building Services),92.5,92.5,3433,3360,3484,3500,3200,3700,with honours in sustainable infrastructure engineering (building services),With Honours In Sustainable Infrastructure Engineering (Land)
2019,Singapore Institute of Technology,Singapore Institute of Technology (SIT),Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land),93.8,90.6,3856,3800,3976,3842,3700,4210,with honours in sustainable infrastructure engineering (land),With Honours In Sustainable Infrastructure Engineering (Land)
2019,Singapore Institute of Technology,Singapore Institute of Technology (SIT),Bachelor of Engineering with Honours in Telematics (Intelligent Transportation Systems Engineering),100,97,3777,3750,3811,3750,3500,4000,with honours in telematics (intelligent transportation systems engineering),With Honours In Telematics (Intelligent Transportation Systems Engineering)
2019,Singapore Institute of Technology,Singapore Institute of Technology (SIT),Bachelor of Hospitality Business with Honours,89.1,74.6,2972,2800,3102,3000,2800,3270,hospitality business with honours,Hospitality Business With Honours
2019,Singapore Institute of Technology,SIT-DigiPen Institute of Technology,Bachelor of Engineering in Systems Engineering (ElectroMechanical Systems) ^,95.2,90.5,3931,3921,4024,3975,3500,4470,in systems engineering (electromechanical systems),In Systems Engineering (Electromechanical Systems)
2019,Singapore Institute of Technology,SIT-Massey University,Bachelor of Food Technology with Honours,93,88.4,2962,2975,2978,2975,2750,3250,food technology with honours,Food Technology With Honours
2019,Singapore Institute of Technology,SIT-Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,82.2,73.3,3217,3200,3463,3500,3200,3600,with honours in chemical engineering,With Honours In Chemical Engineering
2019,Singapore Institute of Technology,SIT-Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering ^,91.3,82.6,3489,3400,3542,3500,3250,3600,with honours in electrical power engineering,With Honours In Chemical Engineering
2019,Singapore Institute of Technology,SIT-Newcastle University,Bachelor of Engineering with Honours in Marine Engineering ^,100,100,3318,3300,3393,3300,3200,3521,with honours in marine engineering,With Honours In Chemical Engineering
2019,Singapore Institute of Technology,SIT-Newcastle University,Bachelor of Engineering with Honours in Mechanical Design and Manufacturing Engineering ^,80,66.7,3227,3100,3269,3100,3050,3500,with honours in mechanical design and manufacturing engineering,With Honours In Mechanical Design & Manufacturing Engineering
2019,Singapore Institute of Technology,SIT-Newcastle University,Bachelor of Engineering with Honours in Naval Architecture **,na,na,na,na,na,na,na,na,with honours in naval architecture,With Honours In Naval Architecture
2019,Singapore Institute of Technology,SIT-Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering **,na,na,na,na,na,na,na,na,with honours in offshore engineering,With Honours In Chemical Engineering
2019,Singapore Institute of Technology,SIT-Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Diagnostic Radiography) **,na,na,na,na,na,na,na,na,bachelor in science (diagnostic radiography),Bachelor In Science (Diagnostic Radiography)
2019,Singapore Institute of Technology,SIT-Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Occupational Therapy),100,100,3429,3400,3466,3425,3308,3650,bachelor in science (occupational therapy),Bachelor In Science (Occupational Therapy)
2019,Singapore Institute of Technology,SIT-Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Physiotherapy),98.3,98.3,3479,3400,3498,3400,3400,3620,bachelor in science (physiotherapy),Bachelor In Science (Physiotherapy)
2019,Singapore Institute of Technology,SIT-Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Radiation Therapy) **,na,na,na,na,na,na,na,na,bachelor in science (radiation therapy),Bachelor In Science (Occupational Therapy)
2019,Singapore Institute of Technology,SIT-University of Glasgow,Bachelor of Science with Honours in Nursing,100,95.8,3522,3500,3772,3800,3450,4085,with honours in nursing,With Honours In Nursing Practice
2019,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Chemical Engineering,81.8,77.3,3213,3100,3471,3300,3110,3600,in chemical engineering,In Chemical Engineering
2019,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Electrical Engineering & Information Technology **,na,na,na,na,na,na,na,na,in electrical engineering & information technology,In Electrical Engineering & Information Technology
2019,Singapore Institute of Technology,The Culinary Institute of America,Bachelor of Business Administration in Food Business Management ^,81,61.9,2532,2350,2852,2625,2200,3350,business administration in food business management,Business Administration In Food Business Management
2019,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,78.7,55.3,2724,2800,2832,2800,2450,3000,arts with honours in communication design,Arts With Honours In Communication Design
2019,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,87.1,80.6,2692,2700,2760,2700,2400,3000,arts with honours in interior design,Arts With Honours In Communication Design
2019,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,77.1,64.6,3500,3500,3597,3500,3200,4000,with honours in aeronautical engineering,With Honours In Chemical Engineering
2019,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,82.4,67.6,3863,3550,3993,3700,3400,4600,with honours in aerospace systems,With Honours In Aerospace Systems
2019,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,97,93.9,3569,3500,3722,3500,3300,3800,with honours in mechanical design engineering,With Honours In Mechanical Design & Manufacturing Engineering
2019,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,93.2,83.1,3764,3600,3793,3600,3300,4000,with honours in mechatronics,With Honours In Mechatronics
2019,Singapore Institute of Technology,University of Glasgow,Bachelor of Science with Honours in Computing Science,92.3,89.2,4294,4000,4366,4200,3700,5100,with honours in computing science,With Honours In Computing Science
2019,Singapore Institute of Technology,University of Liverpool,Bachelor of Arts with Honours in Criminology and Security,80.2,70.4,3647,3526,3823,3695,3400,4050,arts with honours in criminology and security,Arts With Honours In Criminology And Security
2019,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy,96.4,93.7,3753,3000,3802,3050,3000,4000,accountancy,Accountancy
2019,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy (Cum Laude and above),97.9,97.9,4364,3500,4431,3600,3000,5000,accountancy (cum laude and above),Accountancy Cum Laude And Above
2019,Singapore Management University,School of Business (4-year programme) *,Business Management,91,84.8,4056,3600,4181,3750,3300,4600,business management,Business Management
2019,Singapore Management University,School of Business (4-year programme) *,Business Management (Cum Laude and above),93,90.4,4504,4000,4614,4167,3600,5120,business management (cum laude and above),Business Management (4-Year Programme) Cum Laude And Above
